description	ground truth	output
The molecule is a apoptosis, cholesterol translocation, stabilizing cytochrome oxidase that impacts barth syndrome and tangier disease. The molecule is a proton trap for oxidative phosphorylation and a stabilizing mitochondrial structure that impacts aging, diabetic heart disease, and non-alcoholic fatty liver disease.	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)COP(=O)(O)OC[C@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCCCC
The molecule is a stabilizing mitochondrial structure and a stabilizing cytochrome oxidase that impacts tangier disease, non-alcoholic fatty liver disease, and barth syndrome. The molecule is a apoptosis, cholesterol translocation, proton trap for oxidative phosphorylation that impacts diabetic heart disease and aging.	CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC(C)CC)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC
The molecule is a nutrient.	CC/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\CC(O)CCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCCCC
It impacts alzheimer's disease, seizure, stomach cancer, and parkinson's disease. It has an effect on breast cancer, and impacts cardiovascular disease, colorectal cancer, and diabetes mellitus.	CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C=C\[C@@H](O)CC)COP(=O)(O)O[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)O[C@H]1C(O)C(O)C(O)[C@@H](OP(=O)(O)O)C1O)OC(=O)CCC/C=CC/C=CC/C=CCCCC
The molecule is anti inflammatory.	CC1CC2C3CCC4CC(=O)CCC4(C)C3=CCC2(C)C1(O)C(=O)CO	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a jak inhibitor, immunomodulator, protein tyrosine kinase inhibitor, protein kinase inhibitor and belongs to the autoimmune disease treatment class of molecules.	N#CCc1ccc(CC(=O)N2CCN(c3ncnc4[nH]cc(Cl)c34)CC23CC3)cc1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
The molecule is a nutrient.	CC(=O)c1c(O)cc(O)c(C2OC(COC(=O)c3cc(O)c(O)c(O)c3)C(O)C(O)C2OC(=O)c2cc(O)c(O)c(O)c2)c1O	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCCCC
The molecule is a stabilizing mitochondrial structure and a stabilizing cytochrome oxidase that impacts tangier disease, diabetic heart disease, and non-alcoholic fatty liver disease. The molecule is a proton trap for oxidative phosphorylation, cholesterol translocation, apoptosis that impacts barth syndrome and aging.	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCCC(=O)O[C@H](COC(=O)CCCC/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCC
The molecule is a cholesterol translocation that impacts diabetic heart disease, aging, barth syndrome, and tangier disease. The molecule is a stabilizing mitochondrial structure, apoptosis, stabilizing cytochrome oxidase, proton trap for oxidative phosphorylation that impacts non-alcoholic fatty liver disease.	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a anti bacterial member of the anti biotic class.	Cc1ccc2oc(CN)cc2c1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
It impacts pancreatitis, cardiovascular disease, and atherosclerosis. The molecule is a fat storage and nutrient, belonging to the thyroxine treatment class of molecules, and impacts metabolic syndrome.	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COC(=O)CCCCCCCCC/C=CC/C=CC/C=CCCCCC)OC(=O)CCCCCCCCCCCCCCCCCCC
The molecule is a stabilizing mitochondrial structure, stabilizing cytochrome oxidase, apoptosis that impacts barth syndrome and aging. The molecule is a cholesterol translocation and a proton trap for oxidative phosphorylation that impacts diabetic heart disease, non-alcoholic fatty liver disease, and tangier disease.	CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC(C)CC)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCC(C)C)OC(=O)CCCCCCCCCCCCCC(C)C	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCC)OC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCC
The molecule is a stabilizing mitochondrial structure, stabilizing cytochrome oxidase, proton trap for oxidative phosphorylation that impacts non-alcoholic fatty liver disease and tangier disease. The molecule is a apoptosis and a cholesterol translocation that impacts diabetic heart disease, aging, and barth syndrome.	CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)OC(=O)CCCCCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC
The molecule is a membrane stabilizer, energy source, thyroxine treatment that impacts cardiovascular disease, pancreatitis, and cancer. The molecule is a nutrient and inflammatory, and it impacts obesity. The molecule is a energy storage and a fat storage, impacting both metabolic syndrome and atherosclerosis.	CCCCCCCCCCCCCCCCCCCCCC(=O)O[C@@H](COC(=O)CCCCCCCCCCCCCCCCCCCCC(C)CC)COC(=O)CCCCCCCCCCCCCCC(C)C	CCCCCCCCCCCCCCCCCCCCCC(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCC(C)C
It impacts cancer treatment.	CCc1c(-c2ccc(O)cc2)cnc(N)c1-c1ccc2c(cnn2C(=O)OC(C)(C)C)c1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc4)cc3)cc2)cc1
The molecule is a anti retroviral, hiv inhibitor, hiv integrase inhibitor, hiv replication inhibitor.	Cc1cc2c(I)c(C(OC(C)(C)C)C(=O)O)c(C)nc2s1	Cc1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccccc5)cc5)cc4)cc3)cc2)cc1
The molecule is a cholesterol translocation that impacts barth syndrome, aging, diabetic heart disease, and non-alcoholic fatty liver disease. The molecule is a stabilizing cytochrome oxidase, stabilizing mitochondrial structure, proton trap for oxidative phosphorylation, apoptosis that impacts tangier disease.	CCCCCC/C=C\CCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCCCC
The molecule is a stabilizing mitochondrial structure and a cholesterol translocation that impacts non-alcoholic fatty liver disease, diabetic heart disease, and barth syndrome. The molecule is a stabilizing cytochrome oxidase, apoptosis, proton trap for oxidative phosphorylation that impacts tangier disease and aging.	CCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCC(C)C)COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCCCCCCCCC)OC(=O)CCCCCCCCC(C)C	CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CC/C=CCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)COP(=O)(O)OC[C@@H](COC(=O)CCC/C=CC/C=CC/C=CC/C=CC/C=CCCC)OC(=O)CCCCC/C=CC/C=CC/C=CC/C=CC/C=CCC)OC(=O)CCCCCCCCCCCCCCCCC
